Age,Tenure,MonthlyCharges,SupportCalls,ContractType,InternetService,PaymentMethod,Churn
56,42,96.72,6,Yearly,Fiber,Electronic Check,Yes
21,51,60.19,4,Monthly,Fiber,Electronic Check,Yes
23,17,67.99,8,Monthly,None,Credit Card,Yes
62,5,82.75,3,Yearly,DSL,Electronic Check,Yes
49,29,107.37,2,Yearly,None,Bank Transfer,Yes
69,4,118.41,3,Monthly,Fiber,Electronic Check,Yes
47,10,96.83,4,Two-Year,Fiber,Electronic Check,Yes
64,56,61.78,5,Monthly,Fiber,Credit Card,Yes
52,17,62.14,2,Two-Year,Fiber,Electronic Check,Yes
57,10,93.76,1,Yearly,DSL,Electronic Check,Yes
69,17,43.88,3,Yearly,Fiber,Electronic Check,No
33,60,31.05,4,Monthly,Fiber,Electronic Check,Yes
30,20,55.46,3,Two-Year,Fiber,Bank Transfer,Yes
67,24,48.72,2,Monthly,None,Credit Card,Yes
59,5,49.63,7,Yearly,DSL,Credit Card,Yes
47,34,43.36,3,Monthly,None,Bank Transfer,No
36,6,24.21,1,Monthly,DSL,Electronic Check,Yes
34,53,21.79,1,Monthly,DSL,Bank Transfer,No
36,2,118.77,0,Two-Year,DSL,Electronic Check,Yes
45,13,62.78,3,Two-Year,DSL,Bank Transfer,Yes
43,43,58.43,8,Monthly,Fiber,Credit Card,No
54,43,87.96,6,Monthly,DSL,Credit Card,Yes
43,48,41.83,6,Yearly,DSL,Credit Card,Yes
40,11,115.0,6,Monthly,None,Electronic Check,Yes
26,51,98.63,7,Monthly,Fiber,Electronic Check,Yes
29,47,28.94,0,Yearly,Fiber,Bank Transfer,No
18,57,61.76,7,Yearly,None,Bank Transfer,Yes
18,23,107.91,3,Two-Year,Fiber,Credit Card,Yes
64,55,114.47,3,Monthly,DSL,Electronic Check,Yes
51,16,66.74,3,Monthly,DSL,Bank Transfer,Yes
49,31,81.34,5,Yearly,Fiber,Electronic Check,Yes
65,11,36.7,6,Yearly,DSL,Electronic Check,Yes
42,54,119.12,5,Yearly,Fiber,Credit Card,Yes
57,16,43.17,0,Yearly,DSL,Credit Card,Yes
62,8,114.27,7,Monthly,DSL,Electronic Check,Yes
18,4,84.96,6,Two-Year,Fiber,Electronic Check,Yes
